test_p63_.png: psnr=24.28358251995085 ssim=0.7863488275231871 uiqm=0.2472962441839862 uciqe=25.30944858593763
test_p64_.png: psnr=23.73085555482266 ssim=0.8736242526397544 uiqm=0.6609757064348104 uciqe=25.645589934254954
test_p65_.png: psnr=24.27233016558572 ssim=0.788973305442419 uiqm=0.6537389898837953 uciqe=27.65232591518729
test_p66_.png: psnr=24.055445812813446 ssim=0.787142732697219 uiqm=0.47093470233585144 uciqe=30.7458459229048
test_p67_.png: psnr=19.12856200294057 ssim=0.8140414931682298 uiqm=0.4493112094003412 uciqe=27.313393767411394
test_p68_.png: psnr=25.200977631644903 ssim=0.6813464259233188 uiqm=0.3809081880439027 uciqe=27.268027163699248
test_p69_.png: psnr=21.294907354987206 ssim=0.7854802380096993 uiqm=0.4707975439373717 uciqe=27.398568338257558
test_p70_.png: psnr=18.172181916003346 ssim=0.6883699582991235 uiqm=0.6674408712864016 uciqe=28.56723101242988
test_p71_.png: psnr=16.593409370758806 ssim=0.8403877501256122 uiqm=0.5827488189179665 uciqe=27.851974830660165
test_p72_.png: psnr=23.236500523940737 ssim=0.8494954790994612 uiqm=0.4751620313510301 uciqe=24.646586634934316
test_p73_.png: psnr=23.78447824649227 ssim=0.8339774720710608 uiqm=0.31651500990733195 uciqe=29.118966301482832
test_p76_.png: psnr=28.483350316575333 ssim=0.8760873268441142 uiqm=0.2002382758117517 uciqe=26.904376927272512
test_p77_.png: psnr=22.8188357758939 ssim=0.7064369196920598 uiqm=0.7659112801518753 uciqe=19.3290546243668
test_p78_.png: psnr=19.3603269197082 ssim=0.831774474937991 uiqm=-0.19007776666518106 uciqe=27.805313567158894
test_p79_.png: psnr=20.900556701757115 ssim=0.918246616401409 uiqm=0.9721653107080674 uciqe=26.025972905844696
test_p80_.png: psnr=19.63170705740662 ssim=0.7978046698593743 uiqm=0.37351472777540673 uciqe=26.153040628316834
test_p81_.png: psnr=23.745394364253578 ssim=0.8519834756335576 uiqm=1.0355927277328707 uciqe=24.369915266064222
test_p82_.png: psnr=17.257646176032736 ssim=0.7712673835318625 uiqm=0.9289968672078878 uciqe=27.97083728397835
test_p83_.png: psnr=21.709243206363027 ssim=0.8568884828009553 uiqm=0.9502950157050203 uciqe=29.04475129315634
test_p84_.png: psnr=22.326119530049603 ssim=0.8214346334956976 uiqm=0.8995554290788249 uciqe=27.58974456007615
test_p85_.png: psnr=15.328714173029578 ssim=0.6066093345555739 uiqm=0.36319946666631164 uciqe=26.879083675399688
test_p86_.png: psnr=21.99606151836411 ssim=0.7724396982984034 uiqm=0.5939875549364724 uciqe=26.75628393441228
test_p87_.png: psnr=21.94931984718589 ssim=0.8762689418261113 uiqm=0.9021615408160695 uciqe=26.59216186921317
test_p88_.png: psnr=18.22440221851102 ssim=0.7404273247515892 uiqm=0.848981728490617 uciqe=23.15596579422642
test_p89_.png: psnr=15.893509071916071 ssim=0.6578134935036698 uiqm=0.13529955626249313 uciqe=24.83198681987466
test_p90_.png: psnr=19.99251346714729 ssim=0.9031336936546879 uiqm=-0.02718268109700922 uciqe=20.75381513908246
test_p91_.png: psnr=18.510684344953763 ssim=0.8461560562797096 uiqm=0.41541063597507255 uciqe=25.848260440945413
test_p92_.png: psnr=16.669334597084912 ssim=0.7072609350488883 uiqm=1.219566237242781 uciqe=28.086459001945467
test_p93_.png: psnr=18.58822980635405 ssim=0.8054402529970716 uiqm=0.8930106179851087 uciqe=29.18453890082706
test_p94_.png: psnr=23.09778619431945 ssim=0.8532084098713236 uiqm=0.39825904784573873 uciqe=39.51681072578304
test_p97_.png: psnr=18.179766579017308 ssim=0.7780400585699682 uiqm=0.5829988917257499 uciqe=28.99877701027444
test_p98_.png: psnr=26.71605755590401 ssim=0.9193664133120588 uiqm=1.756454564622297 uciqe=29.90995013360808
test_p99_.png: psnr=19.92069030943647 ssim=0.8006445913324381 uiqm=0.9491629751916308 uciqe=23.365760455207496
test_p100_.png: psnr=20.16451248794713 ssim=0.8426604583214171 uiqm=0.6446141711980636 uciqe=28.61097151598216
test_p101_.png: psnr=20.371136075280237 ssim=0.8544421013712271 uiqm=0.4153055855085923 uciqe=24.592284911164505
test_p102_.png: psnr=23.59723047294619 ssim=0.8056978249970294 uiqm=0.7669492585560376 uciqe=19.38369948925113
test_p104_.png: psnr=15.370414383181854 ssim=0.7840493125888002 uiqm=0.727997276556794 uciqe=27.71620462168843
test_p105_.png: psnr=21.658842800765015 ssim=0.7637176045437778 uiqm=0.9337098660711607 uciqe=25.65509719921646
test_p106_.png: psnr=18.967935283831814 ssim=0.7706191201436091 uiqm=0.8895089800872767 uciqe=27.394039654450864
test_p107_.png: psnr=21.420503971685797 ssim=0.8638644721329968 uiqm=0.7247768307531957 uciqe=24.68411439849178
test_p109_.png: psnr=27.567623007623283 ssim=0.9029413610820295 uiqm=0.44622503257566326 uciqe=22.738485773413377
test_p110_.png: psnr=20.517860049009936 ssim=0.7928552302364545 uiqm=0.8346303677500165 uciqe=27.604191758160905
test_p112_.png: psnr=22.902123644029867 ssim=0.8307991008636929 uiqm=1.0183063326340371 uciqe=23.400525658294843
test_p113_.png: psnr=22.945872323429278 ssim=0.8234928577568511 uiqm=0.9649447206658345 uciqe=31.34029476398381
test_p114_.png: psnr=19.326347267907224 ssim=0.9150421960387528 uiqm=0.8528799279564943 uciqe=28.713820023929156
test_p115_.png: psnr=21.469245301682708 ssim=0.8246481487743919 uiqm=0.5856248263009153 uciqe=25.749450786562406
test_p116_.png: psnr=19.44189539088214 ssim=0.8117443748680809 uiqm=0.696922085857167 uciqe=28.06832593655192
test_p117_.png: psnr=19.55419087555083 ssim=0.7865045800945317 uiqm=1.0406426250610212 uciqe=27.32689722921206
test_p118_.png: psnr=24.636630653325184 ssim=0.8023319254400362 uiqm=0.5422385964109147 uciqe=27.744752076475493
test_p119_.png: psnr=22.16495529203388 ssim=0.9232029986940518 uiqm=1.1635229177653292 uciqe=27.537310246238736
test_p120_.png: psnr=21.640191794507302 ssim=0.7935429593723153 uiqm=0.8678723537805003 uciqe=30.501383743871575
test_p121_.png: psnr=27.735241264736146 ssim=0.8977650595234582 uiqm=-0.08769433774228819 uciqe=28.268561818191326
