conf,heat,name,PSNR,SSIM,LPIPS,LRC PSNR
UIEBD-pc,0,89,19.96516175794053,0.8865157726639912,0.1700020730495453,17.841144001861725
UIEBD-pc,0,88,18.735850269970808,0.9110988765990684,0.2621203660964966,21.10409357114136
UIEBD-pc,0,87,19.30228915974408,0.854813632003277,0.2394764572381973,14.377219307451822
UIEBD-pc,0,86,21.838571142433416,0.936448975059556,0.1391049027442932,15.955650688889207
UIEBD-pc,0,85,19.0137977287373,0.8980760597531662,0.1986454278230667,18.151167815487643
UIEBD-pc,0,84,22.470894039924254,0.9361528434071972,0.1596917361021042,17.86099702128787
UIEBD-pc,0,83,26.989432386025047,0.9601137326069666,0.0777468979358673,19.36542073629208
UIEBD-pc,0,82,20.210160975336954,0.9144474120967508,0.2591750025749206,17.412040828516393
UIEBD-pc,0,81,22.719805683071304,0.9179165097048416,0.1237286627292633,17.736588591890126
UIEBD-pc,0,80,26.74454229391385,0.953957986253403,0.1125095188617706,12.861885723886004
UIEBD-pc,0,79,20.628833477093668,0.8454089004794512,0.4241085350513458,9.289574843702471
UIEBD-pc,0,78,25.55506169850346,0.9507615710090483,0.1772967278957367,13.153711452557877
UIEBD-pc,0,77,19.914342407726984,0.8459394033225089,0.4390759170055389,8.800446460824281
UIEBD-pc,0,76,19.90869546365703,0.9229984146292238,0.1380804777145385,17.091920367211593
UIEBD-pc,0,75,20.148033254130773,0.9268124118357344,0.1589466333389282,18.43047790847248
UIEBD-pc,0,74,20.32949441425755,0.9338164444188222,0.1702402830123901,15.709211643391193
UIEBD-pc,0,73,21.51883816080272,0.9262695849024783,0.1418524533510208,18.47817428610612
UIEBD-pc,0,72,16.15754885841342,0.933565762331598,0.3269954621791839,13.127246087019977
UIEBD-pc,0,71,21.88130462101569,0.929285889432039,0.1700780987739563,16.86566733012253
UIEBD-pc,0,70,17.889391148095243,0.9030046242066484,0.2208500057458877,16.065936561688716
UIEBD-pc,0,69,19.351544989182536,0.936095820837236,0.1550953686237335,15.631933722955946
UIEBD-pc,0,68,27.47315715154613,0.9575920834008312,0.0627789720892906,19.075931340545115
UIEBD-pc,0,67,21.99258334536157,0.871674601488093,0.131120815873146,18.69158691079103
UIEBD-pc,0,66,23.5569169903686,0.920211535785486,0.1000168919563293,19.96508641168113
UIEBD-pc,0,65,21.124463065687465,0.9473205652481774,0.1267505437135696,18.13177866701756
UIEBD-pc,0,64,15.877212813885922,0.9081902940931074,0.2749258279800415,13.046542095381986
UIEBD-pc,0,63,19.53853438365629,0.9435242492711658,0.1282514333724975,14.516786970330584
UIEBD-pc,0,62,22.28795494821082,0.9218891673235572,0.093294158577919,14.887099744138265
UIEBD-pc,0,61,18.95018808832008,0.9440445855643204,0.2140947431325912,11.69846322369808
UIEBD-pc,0,60,18.76824446251792,0.968670750458898,0.274762749671936,15.064071358503876
UIEBD-pc,0,59,16.311872307011704,0.949471263534698,0.1963786035776138,18.653243402909418
UIEBD-pc,0,58,22.19302347545644,0.9763211170373411,0.1756280958652496,14.52062572482928
UIEBD-pc,0,57,20.71357638489534,0.9776540592787684,0.2447435855865478,14.955521158694204
UIEBD-pc,0,56,18.5146903633151,0.9550737795062296,0.2838436365127563,16.366955757342936
UIEBD-pc,0,55,23.52631295455378,0.970005728442316,0.1094068884849548,15.33707789026272
UIEBD-pc,0,54,22.729639501809373,0.9422544345820026,0.1020086631178855,21.23198815053061
UIEBD-pc,0,53,21.6613491877086,0.915089774733925,0.1208362951874733,17.394669390108803
UIEBD-pc,0,52,22.04089547302428,0.920241356124147,0.1496204733848571,21.6700384033224
UIEBD-pc,0,51,23.813375185630083,0.9488520683686564,0.0877423211932182,19.212829447919496
UIEBD-pc,0,50,19.442991675272136,0.9484423684492458,0.1740983128547668,16.662453916396064
UIEBD-pc,0,49,23.85210011946164,0.9572065646641342,0.0965110659599304,15.82845699216403
UIEBD-pc,0,48,25.98947611915061,0.9695559390226552,0.0851937532424926,20.0771133177059
UIEBD-pc,0,47,21.272843077598367,0.9412161064993522,0.1288527846336364,24.8602542545018
UIEBD-pc,0,46,27.372671867916623,0.963730821322951,0.0589213632047176,14.999093746766528
UIEBD-pc,0,45,20.71183473295236,0.9247549959557818,0.1842780709266662,17.137386420394606
UIEBD-pc,0,44,21.56158753759079,0.941687495842208,0.1003085672855377,14.08124829477524
UIEBD-pc,0,43,23.737180614461785,0.9569241751967268,0.12696473300457,15.12178516061166
UIEBD-pc,0,42,22.2774045942794,0.9330854902703865,0.1223186999559402,17.890110602166992
UIEBD-pc,0,41,21.09589641233044,0.9555540931168746,0.1266423761844635,13.693178912634856
UIEBD-pc,0,40,16.99129088326878,0.934891035009086,0.2333189249038696,11.954994337890712
UIEBD-pc,0,39,20.30089349370913,0.8925646401343101,0.2070264816284179,18.687679455084016
UIEBD-pc,0,38,23.72344397311917,0.9655474175187622,0.1099079251289367,23.6609175680603
UIEBD-pc,0,37,19.68967839885972,0.9153593859732464,0.1769578754901886,16.82615440499966
UIEBD-pc,0,36,20.10905550224814,0.9120395024962094,0.1728235185146331,15.207336258460808
UIEBD-pc,0,35,24.16406114947128,0.9453575720658762,0.1672905683517456,10.68566438381582
UIEBD-pc,0,34,23.70111208448003,0.9320020035346316,0.0754282176494598,16.64785334003498
UIEBD-pc,0,33,19.210704786104497,0.9439616924797708,0.097553975880146,14.830199328785426
UIEBD-pc,0,32,19.32916062045895,0.9254980187805774,0.1253727972507476,13.62953250519208
UIEBD-pc,0,31,21.65986618646398,0.944958963493458,0.1060704439878463,20.19663819972893
UIEBD-pc,0,30,26.332903403719826,0.9735864481607472,0.0844669491052627,20.89648285593296
UIEBD-pc,0,29,19.13245736958739,0.8866203803096149,0.1336893737316131,18.87474338941616
UIEBD-pc,0,28,20.97474312718752,0.9262834304250634,0.133776307106018,18.618347116023013
UIEBD-pc,0,27,20.507652770423626,0.9108325408433312,0.162004068493843,18.02435477167156
UIEBD-pc,0,26,23.87301649114584,0.9302285816397096,0.1774315685033798,18.49099574982901
UIEBD-pc,0,25,21.750501538740924,0.9177647097704402,0.1697245240211486,19.13094192202843
UIEBD-pc,0,24,20.89238137229108,0.8962744667691513,0.1966487467288971,17.399565985855126
UIEBD-pc,0,23,18.531459803488428,0.8469775775868287,0.2304449677467346,18.628282622821537
UIEBD-pc,0,22,20.00599300557782,0.9373851428404916,0.2615988254547119,11.52996375036205
UIEBD-pc,0,21,24.405853421899167,0.9250492476796576,0.0804134011268615,13.999029200293869
UIEBD-pc,0,20,20.11218936150079,0.9267222281756464,0.2212986350059509,12.36732179025575
UIEBD-pc,0,19,26.80189754306756,0.9530712136321104,0.0667963474988937,14.799775353798118
UIEBD-pc,0,18,27.88853610438072,0.968590078733354,0.0795956328511238,12.63242840852165
UIEBD-pc,0,17,16.36984655142048,0.8347677425392468,0.2579234838485718,17.249730306032156
UIEBD-pc,0,16,21.34655396041949,0.9191072021353304,0.2379989027976989,14.17972593191112
UIEBD-pc,0,15,20.544947605869304,0.9294492192216038,0.1123347356915474,12.885421908629391
UIEBD-pc,0,14,25.383565074572168,0.9287498280206364,0.2294622361660003,12.305337437148584
UIEBD-pc,0,13,24.1844741403599,0.9687943256424774,0.1005454957485199,20.79001285167706
UIEBD-pc,0,12,16.005928556540137,0.8509436989379399,0.266997367143631,21.00170731975597
UIEBD-pc,0,11,22.148408887552552,0.9291030430590732,0.1250730603933334,24.31149482435583
UIEBD-pc,0,10,24.27252064559232,0.9365633602213992,0.1269248127937317,25.52343319817037
UIEBD-pc,0,9,25.35486721475899,0.9600462692361044,0.1088316142559051,19.94649762011232
UIEBD-pc,0,8,25.57087400851312,0.9455916367232204,0.0811509639024734,19.38621737889909
UIEBD-pc,0,7,25.56610265939129,0.9577472901866092,0.1010704264044761,17.365854370011768
UIEBD-pc,0,6,19.367996835080746,0.896191612878709,0.1499629616737365,17.992474788154713
UIEBD-pc,0,5,22.12538190796224,0.9599686444987284,0.1117978543043136,15.067063128899804
UIEBD-pc,0,4,19.80281452079705,0.9041638635397844,0.1520883589982986,17.662511070234064
UIEBD-pc,0,3,12.269044130626291,0.9354740899549236,0.3665472269058227,14.721607732622282
UIEBD-pc,0,2,27.40141064127404,0.9682984031208604,0.0737457647919654,18.742911059736333
UIEBD-pc,0,1,19.356667739782672,0.8851873481011383,0.1690666228532791,18.769589675015347
UIEBD-pc,0,0,20.39132541619466,0.897683244317595,0.1389339715242386,18.91129350454415
